Part,QTY,Total Price ,Link
775 Spindle with collets,1,40.18,https://www.aliexpress.us/item/3256805767996082.html?spm=a2g0o.productlist.main.11.92436f0aZ4xC6e&algo_pvid=3f8d989f-e4dd-4818-94c8-7e623f447984&algo_exp_id=3f8d989f-e4dd-4818-94c8-7e623f447984-10&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2133.92%2117.30%21%21%21242.44%21123.64%21%40210313e917501133120956227e79ac%2112000035010782957%21sea%21US%212680287963%21X&curPageLogUid=btkaawf6GCRn&utparam-url=scene%3Asearch%7Cquery_from%3A
MGN12H 200m,3,51.63,https://www.aliexpress.us/item/2251801624178892.html?spm=a2g0o.productlist.main.5.29e353a8uAASPL&algo_pvid=8a9abc6e-5169-4da6-9d50-5894ae0bb1b8&algo_exp_id=8a9abc6e-5169-4da6-9d50-5894ae0bb1b8-4&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%217.00%216.02%21%21%217.00%216.02%21%402101e9a217501136611374818eb4ec%2165719893165%21sea%21US%212680287963%21X&curPageLogUid=5jpWFCMIy15N&utparam-url=scene%3Asearch%7Cquery_from%3A
8mm lead nut,3,6,https://www.aliexpress.us/item/3256808616561563.html?spm=a2g0o.productlist.main.45.11752082bwcANU&algo_pvid=f97cca46-e401-4daa-a633-c8d671bccfb0&algo_exp_id=f97cca46-e401-4daa-a633-c8d671bccfb0-44&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.58%211.58%21%21%211.58%211.58%21%402101c80217501303798491873eb4b0%2112000046729974059%21sea%21US%212680287963%21X&curPageLogUid=vNb4J8YBucF9&utparam-url=scene%3Asearch%7Cquery_from%3A
1-3mm endmills,2,10,https://www.aliexpress.us/item/3256805889797769.html?spm=a2g0o.productlist.main.2.444547aaDHYRBc&algo_pvid=c068b17a-1835-40f3-ba49-3135d2e3b70e&algo_exp_id=c068b17a-1835-40f3-ba49-3135d2e3b70e-1&pdp_ext_f=%7B%22order%22%3A%22872%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2117.59%215.27%21%21%21125.67%2137.70%21%402101ef5e17501304419781223ea50e%2112000035740820386%21sea%21US%212680287963%21X&curPageLogUid=xcF7hqk6Mqny&utparam-url=scene%3Asearch%7Cquery_from%3A
2080 250mm,1,15.46,https://www.aliexpress.us/item/3256802312626868.html?spm=a2g0o.productlist.main.2.6d9e9001WRk82h&algo_pvid=d5af7641-5006-4c45-ae24-859ba8004837&algo_exp_id=d5af7641-5006-4c45-ae24-859ba8004837-1&pdp_ext_f=%7B%22order%22%3A%2281%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%214.42%214.42%21%21%214.42%214.42%21%402101c5a417501235088727881ec70c%2112000020890615042%21sea%21US%212680287963%21X&curPageLogUid=14v0k1LYJyFM&utparam-url=scene%3Asearch%7Cquery_from%3A
nema 17 motor,3,22.17,https://www.aliexpress.us/item/3256802068491329.html?spm=a2g0o.productlist.main.2.142152bd0Vba9u&algo_pvid=d5efa98a-ccdc-478f-a748-d9114f05fd35&algo_exp_id=d5efa98a-ccdc-478f-a748-d9114f05fd35-1&pdp_ext_f=%7B%22order%22%3A%2275%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2117.73%219.75%21%21%2117.73%219.75%21%402101d9ef17501305507365551ec6f6%2112000030753573944%21sea%21US%212680287963%21X&curPageLogUid=RMHlCpuq9eYI&utparam-url=scene%3Asearch%7Cquery_from%3A
pla filament 1kg,1,18.81,https://www.aliexpress.us/item/3256807874055262.html?spm=a2g0o.detail.0.0.3732b54Nb54NJn&mp=1&pdp_npi=5%40dis%21USD%21USD%2058.79%21USD%2018.81%21%21USD%2018.81%21%21%21%4021010d9017501305606264938e1ab8%2112000043745412546%21ct%21US%212680287963%21%211%210&_gl=1*r1vh8m*_gcl_aw*R0NMLjE3NTAwNDIzNjcuQ2p3S0NBanczcm5DQmhCeEVpd0FyTjBRRS14RDBvam9ZaTJiSE5JempiS2VPWEY3OWMxRFpCRU00ZGIwUmNEaktDSklVMzc0a29ZdUpCb0NDOHdRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NTAwNDIzNjcuQ2p3S0NBanczcm5DQmhCeEVpd0FyTjBRRS14RDBvam9ZaTJiSE5JempiS2VPWEY3OWMxRFpCRU00ZGIwUmNEaktDSklVMzc0a29ZdUpCb0NDOHdRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MTEwMTE1MzY5OS4xNzUwMDUzNjU0*_ga_VED1YSGNC7*czE3NTAxMzAzODQkbzQkZzEkdDE3NTAxMzA1NjAkajUzJGwwJGgw&gatewayAdapt=glo2usa
100mm lead screw,1,2.6,https://www.aliexpress.us/item/3256807271104483.html?spm=a2g0o.productlist.main.1.634c1a0aoYT6oI&algo_pvid=a41be599-ce30-4b89-81f3-fdbda2a4bfd3&algo_exp_id=a41be599-ce30-4b89-81f3-fdbda2a4bfd3-0&pdp_ext_f=%7B%22order%22%3A%221045%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.60%212.60%21%21%2118.54%2118.54%21%40210318ec17501306391406105ec75f%2112000040835160075%21sea%21US%212680287963%21X&curPageLogUid=uU55FXqZ2JDe&utparam-url=scene%3Asearch%7Cquery_from%3A
250mm lead screw,2,10,https://www.aliexpress.us/item/3256807271104483.html?spm=a2g0o.productlist.main.1.634c1a0aoYT6oI&algo_pvid=a41be599-ce30-4b89-81f3-fdbda2a4bfd3&algo_exp_id=a41be599-ce30-4b89-81f3-fdbda2a4bfd3-0&pdp_ext_f=%7B%22order%22%3A%221045%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.60%212.60%21%21%2118.54%2118.54%21%40210318ec17501306391406105ec75f%2112000040835160075%21sea%21US%212680287963%21X&curPageLogUid=uU55FXqZ2JDe&utparam-url=scene%3Asearch%7Cquery_from%3A
2040 200mm,8,62,https://www.aliexpress.us/item/3256808419852325.html?spm=a2g0o.productlist.main.3.30661f01fQ3sN6&algo_pvid=39e94993-bfb3-42ee-afb2-ec7d6b221af9&algo_exp_id=39e94993-bfb3-42ee-afb2-ec7d6b221af9-2&pdp_ext_f=%7B%22order%22%3A%2226%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2132.18%2119.31%21%21%21229.88%21137.93%21%40210337bc17501307128253393e898f%2112000045923191403%21sea%21US%212680287963%21X&curPageLogUid=y3wHR4CwbYdS&utparam-url=scene%3Asearch%7Cquery_from%3A
